recipe_id,avg_rating_recipe,num_ratings_recipe
38,4.333333333333333,3
40,4.8,5
45,4.0,2
46,5.0,2
49,4.0,12
52,5.0,1
53,3.0,1
58,4.333333333333333,6
59,5.0,3
62,4.666666666666667,21
63,5.0,1
66,4.933333333333334,15
70,0.5,2
82,2.5,2
84,5.0,3
85,5.0,2
91,5.0,4
92,4.8,5
93,4.571428571428571,7
94,5.0,3
100,3.0,1
108,3.0,1
109,5.0,2
110,5.0,1
112,4.0,6
113,3.0,1
114,5.0,4
123,5.0,2
128,5.0,2
131,4.5,2
136,4.333333333333333,3
139,5.0,1
142,4.588235294117647,17
143,4.6,5
154,5.0,1
156,3.0,2
164,5.0,1
165,5.0,2
167,4.625,16
170,3.5,4
171,4.0,1
174,5.0,1
175,4.25,4
176,5.0,1
178,4.0,1
181,2.6666666666666665,3
185,5.0,3
186,4.666666666666667,6
189,5.0,1
190,3.0,1
191,5.0,3
197,5.0,2
198,4.482758620689655,29
199,5.0,3
203,4.714285714285714,7
205,5.0,1
206,5.0,1
207,5.0,1
212,5.0,1
213,4.0,1
215,5.0,2
223,2.0,1
224,4.166666666666667,6
226,5.0,1
229,4.5,4
231,5.0,1
232,4.230769230769231,13
238,5.0,2
240,3.875,8
243,4.666666666666667,3
245,4.5,2
246,4.625,40
249,2.0,1
252,4.0,2
256,4.5,2
261,5.0,3
266,4.25,4
270,4.0,6
271,4.909090909090909,11
272,4.666666666666667,3
273,5.0,1
274,5.0,1
277,3.0,1
278,4.416666666666667,12
279,5.0,1
280,4.5,14
281,5.0,3
283,5.0,1
287,0.0,1
289,5.0,1
290,4.666666666666667,3
293,4.0,1
295,5.0,1
297,5.0,3
298,4.333333333333333,3
301,5.0,4
302,5.0,1
304,5.0,1
314,4.461538461538462,13
318,4.666666666666667,3
321,5.0,1
324,5.0,8
327,5.0,5
332,5.0,1
337,2.0,1
339,5.0,2
342,5.0,3
343,5.0,7
345,5.0,1
346,4.444444444444445,27
350,3.3333333333333335,3
351,5.0,2
352,5.0,4
355,3.5,4
356,4.444444444444445,9
360,5.0,2
361,3.8333333333333335,6
363,4.5,2
365,5.0,1
373,5.0,1
374,5.0,3
375,5.0,4
376,4.333333333333333,24
378,4.909090909090909,11
380,4.0,1
381,5.0,2
383,4.0,1
384,5.0,1
385,3.0,1
387,5.0,2
396,3.0,1
400,5.0,1
401,3.0,1
402,5.0,1
404,4.0,2
407,5.0,2
408,5.0,1
409,3.0,1
411,4.0,2
413,5.0,1
418,5.0,1
422,4.0,1
424,5.0,1
428,5.0,1
432,4.676470588235294,34
435,4.5,2
436,5.0,3
437,5.0,1
444,4.0,1
445,4.461538461538462,26
449,0.0,1
450,4.666666666666667,3
454,4.0,2
456,4.526315789473684,19
458,5.0,1
459,4.0,2
460,4.5,2
464,4.5,8
465,5.0,1
467,2.5,2
469,2.5,2
471,3.6666666666666665,3
472,4.0,1
473,5.0,2
483,4.5,2
484,4.0,1
489,1.0,1
492,3.5,2
493,5.0,1
495,5.0,1
496,5.0,1
498,4.25,4
503,3.0,2
504,5.0,1
506,4.625,8
507,4.0,1
512,5.0,7
514,3.6666666666666665,3
517,5.0,2
519,4.446808510638298,47
520,4.25,4
524,4.333333333333333,3
525,5.0,1
533,3.0,1
535,4.5,2
536,4.0,58
539,5.0,1
543,4.5,10
544,4.0,7
546,4.75,4
547,4.5,2
548,4.625,8
551,5.0,1
556,4.5,8
557,5.0,2
558,4.625,16
559,4.0,1
560,4.5,2
561,4.8,5
563,3.0,1
565,4.2,5
567,4.181818181818182,11
570,4.0,1
579,0.0,1
580,4.0,4
581,4.0,1
583,1.0,1
584,5.0,1
585,4.0,1
587,4.0,1
589,5.0,2
590,5.0,3
593,3.857142857142857,7
595,3.0,2
601,4.166666666666667,6
605,4.25,4
606,4.0,2
607,4.51063829787234,94
608,4.666666666666667,3
609,4.5,6
612,5.0,1
614,5.0,1
615,4.428571428571429,28
616,5.0,2
617,3.8333333333333335,6
623,5.0,1
626,4.75,4
630,4.0,1
631,5.0,1
632,4.283018867924528,53
634,4.5,10
635,5.0,1
636,4.9,10
637,5.0,1
638,4.666666666666667,6
642,4.428571428571429,7
645,5.0,1
647,4.904761904761905,21
648,4.75,16
650,4.0,1
652,4.5,2
653,5.0,1
658,4.0,1
659,4.5,4
661,0.0,1
665,4.142857142857143,7
670,3.0,1
671,4.0,5
673,4.666666666666667,3
674,4.0,3
676,3.0,3
682,5.0,1
683,3.5714285714285716,7
685,5.0,3
689,4.2,5
690,4.2,5
693,4.071428571428571,14
705,4.5,2
707,5.0,1
719,4.4,10
736,3.3333333333333335,6
747,4.5,6
749,4.615942028985507,138
759,5.0,2
760,4.666666666666667,3
773,4.9,10
776,4.666666666666667,3
777,4.5,8
779,5.0,2
780,4.666666666666667,9
782,5.0,3
809,4.4411764705882355,34
820,4.173913043478261,23
824,5.0,1
825,4.785714285714286,14
834,3.861111111111111,36
854,3.3333333333333335,3
860,4.396825396825397,63
876,5.0,1
885,5.0,2
897,4.166666666666667,12
902,2.5,2
916,4.0588235294117645,51
930,4.4375,16
931,4.833333333333333,6
932,4.4,5
938,5.0,2
953,3.0,2
956,5.0,1
958,4.0,1
962,4.857142857142857,7
965,4.714285714285714,7
970,5.0,6
971,4.0,1
974,0.0,1
975,3.75,4
992,4.875,8
1031,4.0,1
1033,4.0,1
1035,4.75,44
1042,4.857142857142857,7
1048,4.5,4
1073,5.0,2
1075,0.0,1
1079,4.5,2
1100,3.5,6
1103,4.333333333333333,3
1106,4.0,4
1127,2.0,1
1128,4.5,2
1129,4.5,4
1133,4.176470588235294,17
1136,4.571428571428571,7
1145,5.0,1
1151,4.166666666666667,6
1157,4.153846153846154,13
1162,3.0,3
1168,4.0,1
1183,4.666666666666667,3
1196,2.3333333333333335,3
1201,3.0,1
1204,1.0,1
1207,4.571428571428571,7
1217,4.666666666666667,6
1229,4.25,4
1232,4.0,3
1236,4.809523809523809,21
1246,4.5,2
1249,4.333333333333333,3
1259,4.0,1
1267,4.647058823529412,17
1293,4.7272727272727275,22
1296,4.0,2
1306,4.4,10
1317,4.5,8
1320,4.166666666666667,6
1322,4.25,4
1355,5.0,4
1356,4.534883720930233,129
1399,4.0,1
1420,4.5,2
1423,4.866666666666666,15
1437,5.0,1
1438,4.105263157894737,19
1442,5.0,1
1446,2.0,1
1481,4.666666666666667,6
1507,5.0,1
1521,5.0,1
1522,4.9411764705882355,17
1524,4.5,2
1526,5.0,1
1528,5.0,1
1541,4.0,1
1550,5.0,1
1557,5.0,4
1562,4.0,2
1564,4.0,1
1574,3.0,3
1578,5.0,1
1580,5.0,1
1581,5.0,8
1587,5.0,1
1590,5.0,1
1593,5.0,1
1595,2.3333333333333335,3
1599,4.5,2
1600,4.743589743589744,39
1602,4.571428571428571,7
1612,4.5,2
1630,3.6666666666666665,3
1633,5.0,7
1660,4.5,2
1662,1.5,2
1693,4.8,5
1699,4.0,1
1712,5.0,1
1719,3.0,1
1721,4.6,5
1725,5.0,2
1746,4.571428571428571,7
1797,5.0,2
1823,4.666666666666667,3
1825,4.0,1
1832,4.833333333333333,6
1841,4.0,1
1861,3.875,8
1870,5.0,1
1873,4.454545454545454,22
1878,0.0,1
1881,4.0,1
1883,4.5,4
1904,4.882352941176471,17
1913,5.0,1
1923,3.5,2
1940,5.0,4
1945,4.0,1
1955,3.25,4
2015,4.5,6
2032,4.5,14
2056,4.735294117647059,34
2068,5.0,1
2072,4.567164179104478,67
2075,1.0,1
2086,4.5,6
2087,5.0,1
2092,0.0,1
2100,2.0,1
2110,4.666666666666667,3
2111,4.8,5
2112,4.0,1
2113,3.6666666666666665,3
2121,3.0,1
2129,4.666666666666667,3
2130,5.0,1
2131,4.0,1
2137,4.375,24
2141,5.0,2
2142,5.0,1
2144,4.0,2
2146,5.0,8
2155,4.0,3
2164,4.25,4
2189,4.0,6
2218,4.0,1
2221,5.0,1
2238,4.428571428571429,7
2254,0.0,1
2267,4.625,40
2284,4.0,3
2309,5.0,1
2329,4.0,1
2364,4.7894736842105265,19
2366,4.0,2
2386,4.0,1
2387,5.0,6
2388,5.0,1
2393,3.3333333333333335,6
2417,5.0,1
2425,5.0,1
2450,5.0,2
2462,5.0,10
2474,5.0,7
2495,4.666666666666667,3
2496,4.651558073654391,353
2498,4.912280701754386,57
2501,4.0,1
2502,5.0,2
2509,4.457142857142857,35
2510,4.511627906976744,43
2518,4.5,2
2519,2.5,4
2526,3.642857142857143,14
2528,4.666666666666667,3
2531,2.0,1
2533,3.5,2
2535,3.3333333333333335,6
2537,4.625,56
2543,4.25,4
2553,4.666666666666667,3
2555,5.0,2
2561,4.9,10
2571,4.5,2
2574,5.0,2
2576,3.9,10
2577,4.75,4
2578,4.0,1
2579,5.0,1
2582,4.75,4
2583,4.7272727272727275,11
2586,5.0,1
2588,3.0,1
2595,4.0,1
2604,4.0,1
2611,4.714285714285714,7
2614,4.0,3
2615,5.0,3
2621,5.0,3
2622,4.0,2
2625,4.909090909090909,11
2632,3.0,1
2633,4.5,2
2645,4.0,1
2647,5.0,1
2648,5.0,1
2652,4.6,5
2654,5.0,2
2658,4.333333333333333,6
2659,3.5,2
2662,3.5,2
2663,4.9375,16
2665,5.0,1
2666,5.0,1
2667,5.0,1
2668,3.0,1
2669,4.0,1
2670,4.545454545454546,11
2673,4.0,1
2674,4.5,2
2675,3.0,3
2677,5.0,32
2678,3.6666666666666665,3
2679,5.0,1
2680,4.0,1
2684,4.333333333333333,3
2686,4.777777777777778,9
2690,5.0,3
2695,4.875,16
2698,0.0,1
2699,0.0,1
2700,4.333333333333333,3
2705,3.3333333333333335,3
2707,4.3,10
2708,4.805194805194805,77
2710,4.5,2
2712,3.5,4
2713,4.5625,16
2720,4.25,4
2724,5.0,1
2725,4.0,2
2727,5.0,2
2731,4.6,5
2737,3.5,2
2741,4.25,4
2743,3.0,1
2746,4.0,1
2751,4.5,2
2754,5.0,1
2755,3.5,2
2761,5.0,2
2762,5.0,3
2767,3.9166666666666665,12
2770,5.0,3
2772,4.2,15
2774,1.5,2
2775,2.5,2
2780,5.0,1
2781,4.733333333333333,15
2785,5.0,1
2788,4.5,2
2789,2.75,4
2791,4.75,20
2793,5.0,1
2797,3.0,1
2800,5.0,1
2802,5.0,2
2804,5.0,1
2814,4.230769230769231,13
2815,4.555555555555555,9
2819,3.0,2
2821,5.0,3
2822,4.0,1
2823,5.0,3
2826,5.0,1
2827,5.0,3
2828,4.0,1
2831,5.0,1
2835,4.333333333333333,3
2836,5.0,3
2841,4.8,5
2842,3.5,2
2844,5.0,2
2848,4.0,3
2856,3.6666666666666665,3
2859,3.0,1
2862,4.625,8
2863,4.0,1
2864,4.0,1
2872,4.125,8
2873,5.0,1
2885,4.266666666666667,15
2886,4.665680473372781,338
2889,4.0,2
2891,4.8,5
2893,5.0,1
2895,5.0,2
2897,4.0,1
2900,4.0,1
2901,5.0,10
2902,5.0,1
2903,4.857142857142857,7
2913,5.0,1
2920,5.0,1
2923,5.0,1
2925,5.0,2
2928,3.0,1
2929,4.0,1
2930,4.5,8
2937,4.0,2
2939,5.0,3
2940,5.0,2
2950,5.0,2
2953,4.0,1
2957,2.0,1
2958,5.0,3
2959,4.0,1
2960,5.0,1
2963,1.5,2
2965,4.0,1
2969,5.0,1
2970,5.0,1
2973,5.0,8
2974,4.0,1
2979,0.0,1
2982,4.8,5
2983,5.0,1
2987,5.0,12
2988,4.5,2
2990,4.666666666666667,3
2996,4.0,2
3000,3.0,2
3003,4.0,1
3004,5.0,2
3005,5.0,1
3006,4.0,1
3007,5.0,1
3008,4.0,1
3009,4.083333333333333,12
3010,3.857142857142857,7
3014,4.0,4
3015,5.0,1
3017,5.0,1
3021,5.0,3
3023,5.0,1
3027,4.0,2
3028,5.0,1
3030,3.0,1
3032,4.0,2
3033,5.0,1
3037,4.8,10
3043,4.0,2
3049,4.294117647058823,17
3055,4.0,2
3056,4.5,4
3057,4.5,26
3058,3.5,2
3062,3.0,3
3064,4.4,5
3065,5.0,2
3066,5.0,1
3069,1.0,1
3079,3.5,2
3080,5.0,1
3082,4.5,2
3090,3.6666666666666665,3
3092,4.25,24
3094,5.0,9
3099,5.0,1
3101,5.0,1
3103,4.5,8
3115,5.0,2
3121,4.0,7
3122,4.0,1
3133,4.5,2
3135,4.0,2
3138,4.0,1
3143,4.5,2
3146,4.0,1
3149,4.666666666666667,3
3154,3.0,1
3158,4.75,8
3159,4.0,1
3161,4.8,15
3162,5.0,1
3163,4.0,2
3166,4.512195121951219,41
3168,4.647058823529412,17
3173,4.5,2
3179,5.0,2
3180,4.669642857142857,112
3182,5.0,2
3183,0.0,1
3184,4.666666666666667,3
3185,5.0,1
3189,5.0,2
3194,5.0,1
3195,4.0,1
3196,5.0,1
3198,4.0,2
3200,4.0,1
3201,4.833333333333333,6
3205,3.6666666666666665,3
3208,4.0,1
3216,4.0,1
3219,3.0,3
3222,5.0,2
3224,4.0,1
3225,3.0,1
